vol=71|sen=817; 436232229; TOB; 596.975 56.0127 92.2867
vol=72|sen=1200; 436248645; TOB; 690.487 117.556 92.3091
vol=72|sen=1199; 436248646; TOB; 694.752 118.294 92.2911
vol=73|sen=329; 436264996; TOB; 794.344 88.6378 92.2941
vol=74|sen=387; 436281412; TOB; 873.056 116.224 92.3121
vol=75|sen=417; 436297796; TOB; 941.961 139.806 92.3037
vol=76|sen=510; 436314212; TOB; 1040.88  204.41 92.2939
-----
vol=36|sen=71; 303063064; PixelBarrel; -26.5622  6.66389  100.502
vol=36|sen=82; 303058972; PixelBarrel; -21.9533  21.2581  167.504
vol=42|sen=34; 352626692; PixelEndcap; -68.3474  37.9168  330.749
vol=43|sen=9; 352888836; PixelEndcap; -68.3459  37.9159  405.747
vol=44|sen=23; 353150980; PixelEndcap; -68.3425  37.9149  500.735
vol=85|sen=5; 470307877; TEC; -256.516  106.255  1342.63
vol=85|sen=18; 470307878; TEC; -256.522  106.238  1345.92
vol=86|sen=71; 470324261; TEC; -256.515  106.256  1482.52
vol=86|sen=72; 470324262; TEC; -256.523  106.237  1485.81
vol=87|sen=59; 470340645; TEC; -256.514  106.258   1622.4
vol=87|sen=58; 470340646; TEC; -256.523  106.237  1625.69
vol=88|sen=37; 470357062; TEC; -339.14 140.453 1789.71
vol=90|sen=15; 470389830; TEC; -339.143  140.453  2104.34
vol=90|sen=14; 470389829; TEC; -339.081  140.594  2107.62
vol=91|sen=31; 470406244; TEC; -398.665    203.1  2266.86
vol=91|sen=32; 470406248; TEC; -425.533  138.235  2271.85
vol=92|sen=32; 470422632; TEC; -425.533  138.234  2476.59
-----
vol=36|sen=54; 303042580; PixelBarrel; 29.3899 8.38326 33.5002
vol=38|sen=219; 305139732; PixelBarrel; 110.105 7.65171 33.5008
vol=39|sen=298; 306192404; PixelBarrel; 159.738 23.5498 33.5006
vol=57|sen=534; 369125397; TIB; 268.406 28.0431 75.7537
vol=59|sen=248; 369153044; TIB;  401.601  28.7604 -36.0949
vol=60|sen=371; 369173524; TIB; 481.249 29.1521  33.484
vol=60|sen=373; 369173540; TIB; 474.227  86.946 33.5008
vol=71|sen=777; 436232230; TOB; 592.667 55.6015 92.3206
vol=71|sen=817; 436232229; TOB; 596.975 56.0127 92.2867
vol=72|sen=801; 436244549; TOB;  701.179  119.385 -92.3038
vol=72|sen=802; 436244550; TOB;   705.45  120.108 -92.3286
vol=73|sen=311; 436260900; TOB;  787.864  87.9203 -92.3079
vol=74|sen=333; 436277316; TOB;  879.517  117.085 -92.3134
vol=75|sen=224; 436293700; TOB;  935.508  138.846 -92.3192
vol=76|sen=437; 436310116; TOB;  1047.28  205.664 -92.3009
-----
vol=36|sen=29; 303087628; PixelBarrel;  26.5648 -6.66494 -100.501
vol=37|sen=20; 304201732; PixelBarrel;  65.4747 -6.28567   -234.5
vol=30|sen=94; 344552452; PixelEndcap;  127.818 -4.71832 -374.878
vol=31|sen=110; 344814596; PixelEndcap;  127.816 -4.71858 -469.877
vol=51|sen=72; 402666246; TID;   286.741 0.0105557  -906.125
vol=51|sen=71; 402666245; TID;    286.737 0.00593723   -908.573
vol=52|sen=41; 402668294; TID;    286.736 0.00972542   -1035.58
vol=52|sen=40; 402668293; TID;    286.736 0.00411317   -1038.02
vol=12|sen=116; 470049098; TEC;   363.95 -47.9011  -1298.5
vol=12|sen=108; 470049097; TEC;  363.969 -47.7332 -1301.79
vol=13|sen=180; 470065512; TEC;   447.433 0.0161051  -1416.16
vol=14|sen=151; 470081896; TEC;    447.44 0.0158034  -1556.05
vol=15|sen=165; 470098312; TEC;  560.911  31.5197 -1721.19
vol=16|sen=129; 470114696; TEC;  560.887  31.5175 -1861.04
vol=17|sen=219; 470131080; TEC;  560.888  31.5176 -2035.84
vol=18|sen=195; 470147493; TEC;  674.808   52.907 -2195.37
vol=18|sen=187; 470147494; TEC; 674.806  53.132 -2198.5
vol=19|sen=189; 470163877; TEC; 674.842 52.9166 -2400.1
vol=19|sen=190; 470163878; TEC;   674.81  53.1317 -2403.23
vol=20|sen=189; 470180296; TEC; 817.484  45.937 -2644.3
-----
vol=36|sen=60; 303046676; PixelBarrel; 19.0546 19.6724 33.5007
vol=38|sen=276; 305160220; PixelBarrel; 75.8688 75.5605   167.5
vol=39|sen=494; 306221088; PixelBarrel; 106.316 117.088 234.499
vol=57|sen=627; 369124426; TIB; 157.859 177.932 374.125
vol=57|sen=682; 369124425; TIB; 159.101 179.867 374.124
vol=58|sen=1206; 369141869; TIB; 217.479  279.14 605.454
vol=58|sen=1283; 369141870; TIB; 218.589 281.153 605.461
vol=59|sen=502; 369157228; TIB; 284.669 284.718 593.926
vol=59|sen=503; 369157244; TIB;  241.25 322.333 593.943
vol=63|sen=181; 402673424; TID; 262.984  361.99 743.674
vol=63|sen=150; 402673292; TID;  316.37 316.389  768.22
vol=71|sen=1464; 436232410; TOB; 410.701   459.6 989.808
vol=71|sen=1508; 436232409; TOB; 413.598 462.827 989.834
vol=72|sen=1562; 436248825; TOB; 461.803 498.054 989.824
vol=72|sen=1566; 436248826; TOB; 464.763 501.225 989.803
vol=85|sen=409; 470311632; TEC; 473.786 667.776 1300.82
vol=86|sen=438; 470328052; TEC; 582.228 801.418 1416.92
vol=87|sen=469; 470344436; TEC; 582.242 801.435 1556.79
vol=88|sen=379; 470360820; TEC; 582.247 801.435 1696.63
-----
